Council,zoomy,Councilname
S12000033,11,Aberdeen City
S12000034,9,Aberdeenshire
S12000041,10,Angus
S12000035,8,Argyll and Bute
S12000036,11,City of Edinburgh
S12000005,11,Clackmannanshire
S12000006,8,Dumfries and Galloway
S12000042,12,Dundee City
S12000008,10,East Ayrshire
S12000045,11,East Dunbartonshire
S12000010,10,East Lothian
S12000011,11,East Renfrewshire
S12000013,8,Eilean Siar
S12000014,10,Falkirk
S12000015,10,Fife
S12000046,11,Glasgow City
S12000017,8,Highland
S12000018,11,Inverclyde
S12000019,10,Midlothian
S12000020,10,Moray
S12000021,10,North Ayrshire
S12000044,11,North Lanarkshire
S12000023,9,Orkney Islands
S12000024,9,Perth and Kinross
S12000038,11,Renfrewshire
S12000026,9,Scottish Borders
S12000027,8,Shetland Islands
S12000028,10,South Ayrshire
S12000029,10,South Lanarkshire
S12000030,10,Stirling
S12000039,11,West Dunbartonshire
S12000040,11,West Lothian
