size,outlettype,outletsubtype,year
400,alcohol,On,2012
800,alcohol,On,2012
1000,alcohol,On,2012
1200,alcohol,On,2012
1600,alcohol,On,2012
2000,alcohol,On,2012
3000,alcohol,On,2012
4000,alcohol,On,2012
5000,alcohol,On,2012
400,alcohol,Off,2012
800,alcohol,Off,2012
1000,alcohol,Off,2012
1200,alcohol,Off,2012
1600,alcohol,Off,2012
2000,alcohol,Off,2012
3000,alcohol,Off,2012
4000,alcohol,Off,2012
5000,alcohol,Off,2012
400,alcohol,Both,2012
800,alcohol,Both,2012
1000,alcohol,Both,2012
1200,alcohol,Both,2012
1600,alcohol,Both,2012
2000,alcohol,Both,2012
3000,alcohol,Both,2012
4000,alcohol,Both,2012
5000,alcohol,Both,2012
400,alcohol,TOTAL,2012
800,alcohol,TOTAL,2012
1000,alcohol,TOTAL,2012
1200,alcohol,TOTAL,2012
1600,alcohol,TOTAL,2012
2000,alcohol,TOTAL,2012
3000,alcohol,TOTAL,2012
4000,alcohol,TOTAL,2012
5000,alcohol,TOTAL,2012
400,alcohol,On,2016
800,alcohol,On,2016
1000,alcohol,On,2016
1200,alcohol,On,2016
1600,alcohol,On,2016
2000,alcohol,On,2016
3000,alcohol,On,2016
4000,alcohol,On,2016
5000,alcohol,On,2016
400,alcohol,Off,2016
800,alcohol,Off,2016
1000,alcohol,Off,2016
1200,alcohol,Off,2016
1600,alcohol,Off,2016
2000,alcohol,Off,2016
3000,alcohol,Off,2016
4000,alcohol,Off,2016
5000,alcohol,Off,2016
400,alcohol,Both,2016
800,alcohol,Both,2016
1000,alcohol,Both,2016
1200,alcohol,Both,2016
1600,alcohol,Both,2016
2000,alcohol,Both,2016
3000,alcohol,Both,2016
4000,alcohol,Both,2016
5000,alcohol,Both,2016
400,alcohol,TOTAL,2016
800,alcohol,TOTAL,2016
1000,alcohol,TOTAL,2016
1200,alcohol,TOTAL,2016
1600,alcohol,TOTAL,2016
2000,alcohol,TOTAL,2016
3000,alcohol,TOTAL,2016
4000,alcohol,TOTAL,2016
5000,alcohol,TOTAL,2016
400,tobacco,TOTAL,2012
800,tobacco,TOTAL,2012
1000,tobacco,TOTAL,2012
1200,tobacco,TOTAL,2012
1600,tobacco,TOTAL,2012
2000,tobacco,TOTAL,2012
3000,tobacco,TOTAL,2012
4000,tobacco,TOTAL,2012
5000,tobacco,TOTAL,2012
400,tobacco,TOTAL,2016
800,tobacco,TOTAL,2016
1000,tobacco,TOTAL,2016
1200,tobacco,TOTAL,2016
1600,tobacco,TOTAL,2016
2000,tobacco,TOTAL,2016
3000,tobacco,TOTAL,2016
4000,tobacco,TOTAL,2016
5000,tobacco,TOTAL,2016
